consent1.x,consent1.y,consent1.leftButton,consent1.midButton,consent1.rightButton,consent1.time,consent1.clicked_name,participant,group,date,expName,psychopyVersion,OS,frameRate,consent2.x,consent2.y,consent2.leftButton,consent2.midButton,consent2.rightButton,consent2.time,consent2.clicked_name,key_resp_20.keys,key_resp_20.rt,age_answer.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.time,mouse_8.clicked_name,residence_answer.text,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,native_lang_answer.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.time,sex_answer.response,sex_answer.rt,education_answer.response,education_answer.rt,hand_answer.response,hand_answer.rt,key_resp_15.keys,key_resp_15.rt,N_language_answer.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
[-0.2462962680392795],[-0.2546296861436632],[1],[0],[0],[5.863100000000557],"[""informed_consent_accepted""]",,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,[-0.2490740458170573],[-0.2731481764051649],[1],[0],[0],[6.016200000000186],"[""treatment_data_accepted""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,,,,,,,,space,1.5525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,,,,,,,,,,rerr,"[-0.034259202745225696,-0.04629626803927951]","[-0.2759259541829427,-0.309259287516276]","[1,1]","[0,0]","[0,0]","[2.154,2.9534999999999982]","[""text_77""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,,,,,,,,,,,,,,,,,,ddgfdgd ,[-0.030555555555555555],[-0.30648150973849825],[1],[0],[0],[2.251900000000372],"[""text_77""]",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,,,,,,,,,,,,,,,,,,,,,,,,,,23245,[-0.048148091634114584],[-0.28796301947699654],[1],[0],[0],[2.0854000000003765],,,,,,,,,,,,,,,
,,,,,,,,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.4351,,,,,,,,,,,,,
,,,,,,,,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.8293,,,,,,,,,,,
,,,,,,,,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.8205,,,,,,,,,
,,,,,,,,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,0.6282,,,,,,,
,,,,,,,,A,2023-07-07_18h48.02.672,Unsyncopated1,2022.2.5,Win32,60.24822268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wwd,[-0.03703698052300347],[-0.3046296861436632],[1],[0],[0],[1.630799999999816]
